analyte,sample_number,unit_note,value
molybdenum,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00412593
cadmium,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000787358
barium,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.272168
lead,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00269181
uranium,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000504949
methane,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.107527
hydrogen sulphide,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.28
hydrogen,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.158468
carbon monoxide,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0737528
nitrate,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.029
ammonium,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.76
sulfate,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,592.0
chloride,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,429.0
phosphate,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.152
ferrous iron,P1.0063,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.4
lithium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.75863
boron,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.46409
sodium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,424.461
aluminium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,21.4546
silicon,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,244.613
potassium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,80.772
calcium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,19.2674
vanadium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00497284
iron,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.50439
manganese,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.268031
nickel,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0141632
zinc,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0663326
magnesium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.1769
arsenic,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.575341
bromine,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.50039
strontium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.161004
molybdenum,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00340226
cadmium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00105955
barium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.156449
lead,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000927929
uranium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000544772
methane,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.337743
hydrogen sulphide,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.8
hydrogen,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.215948
carbon monoxide,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0638213
nitrate,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.029
ammonium,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.75
sulfate,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,626.0
chloride,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,435.0
phosphate,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.1
ferrous iron,P1.0064,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.0
lithium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.93832
boron,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.09856
sodium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,360.442
aluminium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,71.5062
silicon,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,145.35
potassium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,62.0241
calcium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,25.3747
vanadium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0171406
chromium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0204153
iron,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,11.4908
manganese,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.430456
cobalt,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000714535
nickel,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00423617
copper,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00535901
zinc,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0991162
magnesium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.58103
arsenic,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.270911
selenium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00236249
bromine,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.78257
strontium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.246924
molybdenum,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00242171
cadmium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00105687
barium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0969307
lead,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00887557
uranium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000792079
methane,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.387622
hydrogen sulphide,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.9
carbon monoxide,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.018611
nitrate,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.029
ammonium,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,13.08
sulfate,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1260.0
chloride,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,446.0
phosphate,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.187
ferrous iron,P1.0065,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,12.2
lithium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.47545
boron,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.16028
sodium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,350.571
aluminium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.29372
silicon,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,189.313
potassium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,69.7463
calcium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,22.4196
iron,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.29554
manganese,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.297823
cobalt,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000619819
nickel,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00371892
copper,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.119522
zinc,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.068645
magnesium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.60508
arsenic,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.27926
bromine,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.37621
strontium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.198228
molybdenum,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00160902
cadmium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000774517
barium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.171316
lead,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00300073
uranium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00019996
methane,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.178774
hydrogen sulphide,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.1
hydrogen,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0266247
carbon monoxide,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.048076
nitrate,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.028
ammonium,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,8.76
sulfate,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,397.0
chloride,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,369.0
phosphate,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.114
ferrous iron,P1.0066,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.4
lithium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.9631
boron,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,8.54
sodium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,422.424
aluminium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,8.50932
silicon,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,149.913
potassium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,78.6326
calcium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,29.9497
iron,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.37524
manganese,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.440217
cobalt,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000261598
nickel,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00272062
copper,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000889433
zinc,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0382456
magnesium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.45677
arsenic,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.26415
bromine,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.07812
strontium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.215157
molybdenum,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00122822
cadmium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000683504
barium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.14622
lead,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0030793
uranium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000101051
hydrogen sulphide,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.03
hydrogen,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0323515
carbon monoxide,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0408874
nitrate,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.063
ammonium,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,8.97
sulfate,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,466.0
chloride,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,502.0
phosphate,P1.0067,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.117
lithium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.37487
boron,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.44339
sodium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,330.624
aluminium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,12.3347
silicon,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,147.393
potassium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,67.6819
calcium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,25.9972
vanadium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00247242
iron,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.65454
manganese,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.5241
cobalt,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000207667
nickel,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00368609
zinc,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0342651
magnesium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.07597
arsenic,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.396125
bromine,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.56204
strontium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.235266
molybdenum,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00115658
silver,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000245196
cadmium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00129904
barium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.173059
lead,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00281421
uranium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000147118
methane,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.148317
hydrogen sulphide,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.6
hydrogen,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0246523
carbon monoxide,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.033833
nitrate,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.028
ammonium,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.94
sulfate,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,518.0
chloride,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,364.0
phosphate,P1.0076,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.093
lithium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.4948
boron,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,14.884
sodium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,824.514
aluminium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.326031
silicon,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,279.275
potassium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,144.173
calcium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,38.4614
iron,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.32803
manganese,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.127125
nickel,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00467254
zinc,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00112785
magnesium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.480973
arsenic,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.26141
bromine,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.60397
strontium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.324835
molybdenum,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000521
cadmium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000428228
barium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.218283
lead,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000637275
uranium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.05051e-05
methane,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0959141
hydrogen sulphide,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.14
hydrogen,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0937076
carbon monoxide,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0788293
nitrate,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.022
ammonium,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,18.12
sulfate,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,338.0
chloride,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,782.0
phosphate,P1.0077,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.088
lithium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.51753
boron,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,12.8847
sodium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,718.765
aluminium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.18108
silicon,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,278.288
potassium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,125.778
calcium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,37.4937
iron,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.77429
manganese,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.308638
nickel,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00371334
copper,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00204503
zinc,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.035788
magnesium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.29682
arsenic,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.71524
bromine,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.24289
strontium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.311462
cadmium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000759547
barium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.199607
lead,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0026928
uranium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00020198
methane,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.184181
hydrogen sulphide,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.1
hydrogen,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.131371
carbon monoxide,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0814873
nitrate,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.025
ammonium,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,15.92
sulfate,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,366.0
chloride,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,712.0
phosphate,P1.0078,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.082
lithium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.8215
boron,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.5904
sodium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,388.155
aluminium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,8.85638
silicon,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,165.154
potassium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,79.4102
calcium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,28.8355
iron,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.48595
manganese,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.525429
cobalt,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000320449
nickel,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00373857
zinc,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0323653
magnesium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.89754
arsenic,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.06928
bromine,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.83207
strontium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.242514
molybdenum,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000512753
cadmium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000844344
barium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.17935
lead,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00169503
uranium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00015
methane,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.21564
hydrogen sulphide,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.2
hydrogen,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0832248
carbon monoxide,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0676872
nitrate,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.027
ammonium,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,11.41
sulfate,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,463.0
chloride,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,401.0
phosphate,P1.0079,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.101
lithium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.21755
boron,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,16.1837
sodium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,915.572
aluminium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.93104
silicon,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,349.289
potassium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,156.659
calcium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,43.8736
vanadium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00365868
iron,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.41084
manganese,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.397536
nickel,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00502936
zinc,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0376932
magnesium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.66921
arsenic,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.455239
selenium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00177707
bromine,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.18609
strontium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.417164
silver,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000404121
cadmium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00170252
barium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.331076
lead,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00229722
uranium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000303091
methane,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.126147
hydrogen sulphide,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.8
hydrogen,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0344277
carbon monoxide,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0633482
nitrate,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.025
ammonium,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,17.67
sulfate,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,371.0
chloride,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,729.0
phosphate,P1.0080,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.08
lithium,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.82359
boron,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,12.3874
sodium,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,767.767
aluminium,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.68338
silicon,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,249.35
potassium,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,143.28
calcium,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,62.3567
iron,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.61869
manganese,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.11836
nickel,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00650274
zinc,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.110384
magnesium,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.79559
arsenic,P1.0081,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,11.021
