analyte,sample_number,unit_note,value
potassium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,228.687
calcium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,34.1665
chromium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0038637
iron,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.839571
manganese,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00881717
copper,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0222906
zinc,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0408166
magnesium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.226269
arsenic,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.35297
selenium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.018741
bromine,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,9.05706
strontium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.232737
molybdenum,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.022986
silver,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00273375
barium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.14
lead,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00122973
hydrogen sulphide,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.05
nitrate,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.026
ammonium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.172
sulfate,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,40.0
chloride,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1847.0
phosphate,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.2
lithium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,19.3861
boron,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,42.0918
sodium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1268.83
aluminium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.562385
silicon,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,272.734
potassium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,257.327
calcium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,32.7471
iron,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.725319
manganese,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0043443
copper,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0240957
zinc,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0148515
magnesium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.106589
arsenic,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.22053
selenium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0275747
bromine,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.3072
strontium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.183848
molybdenum,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0124612
silver,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000538669
barium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0819315
hydrogen sulphide,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.02
nitrate,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.024
ammonium,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.128
sulfate,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,50.0
chloride,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2080.0
phosphate,P1.0005,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.662
lithium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,19.0824
