timestamp_utc,sample_number,kind,url,status,bytes
2026-05-27T07:17:11.781292+00:00,P1.0801,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0801,ok,1471
2026-05-27T07:17:13.685590+00:00,P1.0802,chemistry,https://1000springs.org.nz/chemistryJson/P1.0802,ok,1069
2026-05-27T07:17:15.951268+00:00,P1.0802,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0802,ok,13546
2026-05-27T07:17:18.131031+00:00,P1.0803,chemistry,https://1000springs.org.nz/chemistryJson/P1.0803,ok,1035
2026-05-27T07:17:20.178898+00:00,P1.0803,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0803,ok,6967
2026-05-27T07:17:22.070056+00:00,P1.0804,chemistry,https://1000springs.org.nz/chemistryJson/P1.0804,ok,991
2026-05-27T07:17:24.173053+00:00,P1.0804,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0804,ok,13171
2026-05-27T07:17:26.218564+00:00,P1.0805,chemistry,https://1000springs.org.nz/chemistryJson/P1.0805,ok,1106
2026-05-27T07:17:28.166504+00:00,P1.0805,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0805,ok,3138
2026-05-27T07:17:30.122534+00:00,P1.0806,chemistry,https://1000springs.org.nz/chemistryJson/P1.0806,ok,1108
2026-05-27T07:17:31.991956+00:00,P1.0806,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0806,ok,4111
2026-05-27T07:17:33.843111+00:00,P1.0807,chemistry,https://1000springs.org.nz/chemistryJson/P1.0807,ok,1094
2026-05-27T07:17:35.950843+00:00,P1.0807,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0807,ok,4020
2026-05-27T07:17:38.035945+00:00,P1.0808,chemistry,https://1000springs.org.nz/chemistryJson/P1.0808,ok,1093
2026-05-27T07:17:39.955978+00:00,P1.0808,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0808,ok,9055
2026-05-27T07:17:41.990147+00:00,P1.0809,chemistry,https://1000springs.org.nz/chemistryJson/P1.0809,ok,1016
2026-05-27T07:17:43.867761+00:00,P1.0809,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0809,ok,6795
2026-05-27T07:17:45.883493+00:00,P1.0810,chemistry,https://1000springs.org.nz/chemistryJson/P1.0810,ok,1059
2026-05-27T07:17:47.826188+00:00,P1.0810,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0810,ok,4830
2026-05-27T07:17:49.783314+00:00,P1.0811,chemistry,https://1000springs.org.nz/chemistryJson/P1.0811,ok,944
2026-05-27T07:17:51.743338+00:00,P1.0811,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0811,ok,5947
2026-05-27T07:17:53.766556+00:00,P1.0812,chemistry,https://1000springs.org.nz/chemistryJson/P1.0812,ok,1056
2026-05-27T07:17:55.303189+00:00,P1.0812,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0812,ok,5380
2026-05-27T07:17:57.454629+00:00,P1.0813,chemistry,https://1000springs.org.nz/chemistryJson/P1.0813,ok,1013
2026-05-27T07:17:59.503588+00:00,P1.0813,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0813,ok,12672
2026-05-27T07:18:01.141775+00:00,P1.0814,chemistry,https://1000springs.org.nz/chemistryJson/P1.0814,ok,1012
2026-05-27T07:18:03.138668+00:00,P1.0814,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0814,ok,2084
2026-05-27T07:18:05.237176+00:00,P1.0815,chemistry,https://1000springs.org.nz/chemistryJson/P1.0815,ok,1059
2026-05-27T07:18:06.874411+00:00,P1.0815,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0815,ok,5507
2026-05-27T07:18:08.922659+00:00,P1.0816,chemistry,https://1000springs.org.nz/chemistryJson/P1.0816,ok,1240
2026-05-27T07:18:10.893795+00:00,P1.0816,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0816,ok,4251
2026-05-27T07:18:12.916115+00:00,P1.0817,chemistry,https://1000springs.org.nz/chemistryJson/P1.0817,ok,945
2026-05-27T07:18:14.837479+00:00,P1.0817,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0817,ok,2727
2026-05-27T07:18:16.312636+00:00,P1.0818,chemistry,https://1000springs.org.nz/chemistryJson/P1.0818,ok,908
2026-05-27T07:18:18.446210+00:00,P1.0818,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0818,ok,11287
2026-05-27T07:18:20.495926+00:00,P1.0819,chemistry,https://1000springs.org.nz/chemistryJson/P1.0819,ok,1018
2026-05-27T07:18:22.441787+00:00,P1.0819,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0819,ok,13043
2026-05-27T07:18:24.182557+00:00,P1.0820,chemistry,https://1000springs.org.nz/chemistryJson/P1.0820,ok,1094
2026-05-27T07:18:26.227394+00:00,P1.0820,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0820,ok,7659
2026-05-27T07:18:28.173982+00:00,P1.0821,chemistry,https://1000springs.org.nz/chemistryJson/P1.0821,ok,1059
2026-05-27T07:18:30.154801+00:00,P1.0821,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0821,ok,11379
2026-05-27T07:18:32.271084+00:00,P1.0822,chemistry,https://1000springs.org.nz/chemistryJson/P1.0822,ok,1098
2026-05-27T07:18:33.803695+00:00,P1.0822,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0822,ok,8201
2026-05-27T07:18:35.853900+00:00,P1.0823,chemistry,https://1000springs.org.nz/chemistryJson/P1.0823,ok,1025
2026-05-27T07:18:37.783737+00:00,P1.0823,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0823,status_404,28
2026-05-27T07:18:39.694084+00:00,P1.0824,chemistry,https://1000springs.org.nz/chemistryJson/P1.0824,ok,1058
2026-05-27T07:18:41.792296+00:00,P1.0824,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0824,ok,19437
2026-05-27T07:18:43.842268+00:00,P1.0825,chemistry,https://1000springs.org.nz/chemistryJson/P1.0825,ok,1024
2026-05-27T07:18:46.132098+00:00,P1.0825,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0825,ok,13158
2026-05-27T07:18:48.245658+00:00,P1.0826,chemistry,https://1000springs.org.nz/chemistryJson/P1.0826,ok,978
2026-05-27T07:18:50.136277+00:00,P1.0826,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0826,ok,6541
2026-05-27T07:18:52.169021+00:00,P1.0827,chemistry,https://1000springs.org.nz/chemistryJson/P1.0827,ok,1027
2026-05-27T07:18:54.082674+00:00,P1.0827,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0827,ok,8315
2026-05-27T07:18:56.130542+00:00,P1.0828,chemistry,https://1000springs.org.nz/chemistryJson/P1.0828,ok,1140
2026-05-27T07:18:57.662497+00:00,P1.0828,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0828,ok,4002
2026-05-27T07:18:59.815473+00:00,P1.0829,chemistry,https://1000springs.org.nz/chemistryJson/P1.0829,ok,1218
2026-05-27T07:19:01.456130+00:00,P1.0829,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0829,ok,2966
2026-05-27T07:19:03.501180+00:00,P1.0830,chemistry,https://1000springs.org.nz/chemistryJson/P1.0830,ok,1112
2026-05-27T07:19:05.008437+00:00,P1.0830,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0830,ok,7148
2026-05-27T07:19:06.676770+00:00,P1.0831,chemistry,https://1000springs.org.nz/chemistryJson/P1.0831,ok,1249
2026-05-27T07:19:08.765252+00:00,P1.0831,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0831,ok,3146
2026-05-27T07:19:10.662533+00:00,P1.0832,chemistry,https://1000springs.org.nz/chemistryJson/P1.0832,ok,1188
2026-05-27T07:19:12.715630+00:00,P1.0832,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0832,ok,1472
2026-05-27T07:19:14.709256+00:00,P1.0833,chemistry,https://1000springs.org.nz/chemistryJson/P1.0833,ok,1146
2026-05-27T07:19:16.812589+00:00,P1.0833,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0833,ok,614
2026-05-27T07:19:18.450931+00:00,P1.0834,chemistry,https://1000springs.org.nz/chemistryJson/P1.0834,ok,1068
2026-05-27T07:19:20.399494+00:00,P1.0834,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0834,ok,2943
2026-05-27T07:19:21.859051+00:00,P1.0835,chemistry,https://1000springs.org.nz/chemistryJson/P1.0835,ok,1140
2026-05-27T07:19:23.979982+00:00,P1.0835,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0835,ok,3326
2026-05-27T07:19:25.854630+00:00,P1.0836,chemistry,https://1000springs.org.nz/chemistryJson/P1.0836,ok,1207
2026-05-27T07:19:27.463265+00:00,P1.0836,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0836,ok,1877
2026-05-27T07:19:29.511149+00:00,P1.0841,chemistry,https://1000springs.org.nz/chemistryJson/P1.0841,ok,1099
2026-05-27T07:19:31.558559+00:00,P1.0841,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0841,ok,2358
2026-05-27T07:19:33.597901+00:00,P1.0843,chemistry,https://1000springs.org.nz/chemistryJson/P1.0843,ok,1107
2026-05-27T07:19:35.551590+00:00,P1.0843,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0843,ok,3134
2026-05-27T07:19:37.075485+00:00,P1.0845,chemistry,https://1000springs.org.nz/chemistryJson/P1.0845,ok,927
2026-05-27T07:19:39.138860+00:00,P1.0845,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0845,ok,13108
2026-05-27T07:19:41.186193+00:00,P1.0848,chemistry,https://1000springs.org.nz/chemistryJson/P1.0848,ok,1077
2026-05-27T07:19:43.337997+00:00,P1.0848,taxonomy,https://1000springs.org.nz/taxonomyJson/P1.0848,ok,16098
2026-05-27T07:19:45.380369+00:00,P1.0849,chemistry,https://1000springs.org.nz/chemistryJson/P1.0849,ok,967
